Date,Mkt-RF,SMB,HML,RF
2019-12-16,7.400000000000001e-05,2.9999999999999997e-06,-5e-06,7.000000000000001e-07
2019-12-17,1e-05,4.0999999999999994e-05,6.7e-05,7.000000000000001e-07
2019-12-18,-5e-06,2e-05,9e-06,7.000000000000001e-07
2019-12-19,4.3e-05,-2e-06,-4.2e-05,7.000000000000001e-07
2019-12-20,4.7999999999999994e-05,-3e-05,-3.1e-05,7.000000000000001e-07
2019-12-23,1e-05,1.9e-05,-3.5e-05,7.000000000000001e-07
2019-12-24,1e-06,3.9e-05,0.0,7.000000000000001e-07
2019-12-26,4.7999999999999994e-05,-5.4000000000000005e-05,0.0,7.000000000000001e-07
2019-12-27,-1e-05,-5.3e-05,-7.000000000000001e-06,7.000000000000001e-07
2019-12-30,-5.6999999999999996e-05,1.9e-05,5.500000000000001e-05,7.000000000000001e-07
2019-12-31,2.8000000000000003e-05,-1e-06,1.1999999999999999e-05,7.000000000000001e-07
2020-01-02,8.6e-05,-8.800000000000001e-05,-3.3e-05,6e-07
2020-01-03,-6.7e-05,3.8e-05,0.0,6e-07
2020-01-06,3.6e-05,-7.000000000000001e-06,-5.500000000000001e-05,6e-07
2020-01-07,-1.9e-05,-1e-06,-2.5e-05,6e-07
2020-01-08,4.699999999999999e-05,-5e-06,-6.6e-05,6e-07
2020-01-09,6.500000000000001e-05,-6.4e-05,-4.7999999999999994e-05,6e-07
2020-01-10,-3.4e-05,-1.9e-05,-3.3e-05,6e-07
2020-01-13,7.3e-05,-1.1000000000000001e-05,-8e-06,6e-07
2020-01-14,-5.999999999999999e-06,3.9e-05,-1.8e-05,6e-07
2020-01-15,1.6e-05,4.6e-05,-8.100000000000002e-05,6e-07
2020-01-16,8.800000000000001e-05,5.2e-05,-1.1999999999999999e-05,6e-07
2020-01-17,2.8000000000000003e-05,-6.4e-05,-1.3e-05,6e-07
2020-01-21,-3.2e-05,-5.1000000000000006e-05,-6.2e-05,6e-07
2020-01-22,8e-06,-2.6e-05,1e-06,6e-07
2020-01-23,7.000000000000001e-06,-5.999999999999999e-06,-1.4000000000000001e-05,6e-07
2020-01-24,-9.7e-05,-4.4000000000000006e-05,-2.8999999999999997e-05,6e-07
2020-01-27,-0.000156,3.7000000000000005e-05,-4.0999999999999994e-05,6e-07
2020-01-28,0.00010200000000000001,-1.1999999999999999e-05,-4.2e-05,6e-07
2020-01-29,-1.1000000000000001e-05,-2.3999999999999997e-05,-9.8e-05,6e-07
2020-01-30,3.4e-05,-6.8e-05,6.9e-05,6e-07
2020-01-31,-0.000174,-4.3e-05,-3.5e-05,6e-07
2020-02-03,8.4e-05,6.2e-05,-6.7e-05,6e-07
2020-02-04,0.00015700000000000002,-5.999999999999999e-06,-6.6e-05,6e-07
2020-02-05,9.7e-05,3.3e-05,0.000147,6e-07
2020-02-06,2.7000000000000002e-05,-4.4000000000000006e-05,-8.4e-05,6e-07
2020-02-07,-5.500000000000001e-05,-7.900000000000001e-05,-4e-06,6e-07
2020-02-10,7.3e-05,-1e-06,-8.9e-05,6e-07
2020-02-11,2.8000000000000003e-05,5e-06,0.000105,6e-07
2020-02-12,6.6e-05,1.5e-05,-3.4e-05,6e-07
2020-02-13,-9e-06,1.9e-05,1e-06,6e-07
2020-02-14,1.5e-05,-3.9e-05,-6.6e-05,6e-07
2020-02-18,-1.9e-05,1.6e-05,-6.500000000000001e-05,6e-07
2020-02-19,6e-05,1.8e-05,4e-06,6e-07
2020-02-20,-3.5e-05,4.9e-05,6.8e-05,6e-07
2020-02-21,-0.00011200000000000001,-9e-06,-1e-06,6e-07
2020-02-24,-0.000339,1.8e-05,1e-06,6e-07
2020-02-25,-0.000309,-1.1000000000000001e-05,-6.8e-05,6e-07
2020-02-26,-5.3e-05,-3.8e-05,-0.00012,6e-07
2020-02-27,-0.00042199999999999996,7.900000000000001e-05,5e-06,6e-07
2020-02-28,-7.8e-05,3e-05,-8e-05,6e-07
2020-03-02,0.000431,-0.000168,-4.3e-05,6e-07
2020-03-03,-0.000279,8.100000000000002e-05,-6.3e-05,6e-07
2020-03-04,0.00040300000000000004,-0.00010800000000000001,-0.00011699999999999998,6e-07
2020-03-05,-0.000338,2.3999999999999997e-05,-0.00014,6e-07
2020-03-06,-0.000178,5.999999999999999e-06,-0.000149,6e-07
2020-03-09,-0.000779,-3.8e-05,-0.00047599999999999997,6e-07
2020-03-10,0.00047400000000000003,-0.00024900000000000004,8e-05,6e-07
2020-03-11,-0.0005049999999999999,-8.199999999999999e-05,-8e-05,6e-07
2020-03-12,-0.0009630000000000001,-4.3e-05,-0.00011699999999999998,6e-07
2020-03-13,0.0008960000000000001,-0.000269,0.000303,6e-07
2020-03-16,-0.0012,-2.3999999999999997e-05,-7.3e-05,6e-07
2020-03-17,0.0005870000000000001,8.6e-05,-6e-05,6e-07
2020-03-18,-0.000556,-0.000356,-0.000469,6e-07
2020-03-19,0.000131,0.000547,8.199999999999999e-05,6e-07
2020-03-20,-0.000415,3.5e-05,-8.9e-05,6e-07
2020-03-23,-0.00025499999999999996,0.00022400000000000002,-0.000329,6e-07
